return_id,order_id,product_id,quantity_returned,return_date,return_reason,return_status
514,1113,52,1,2025-09-30,Defective,Refunded
515,2850,122,1,2024-11-21,Damaged,Refunded
516,5312,59,1,2024-03-14,Damaged,Refunded
517,3628,100,1,2024-12-05,Changed Mind,Refunded
518,4801,126,1,2025-09-30,Damaged,Refunded
519,4168,14,2,2024-03-05,Changed Mind,Refunded
520,3411,40,4,2025-05-02,Changed Mind,Refunded
521,3620,29,1,2024-05-14,Wrong Item,Refunded
522,5816,59,4,2024-09-16,Late Delivery,Refunded
523,1452,140,1,2025-04-15,Late Delivery,Exchanged
524,5057,139,1,2025-06-21,Changed Mind,Refunded
525,5236,48,1,2025-03-31,Damaged,Exchanged
526,60,159,4,2025-06-09,Changed Mind,Exchanged
527,3775,113,2,2024-07-15,Damaged,Refunded
528,198,74,1,2025-02-25,Changed Mind,Refunded
529,1170,7,2,2024-04-11,Changed Mind,Refunded
530,5186,26,1,2024-09-08,Late Delivery,Refunded
531,4854,16,2,2025-12-26,Damaged,Refunded
532,625,71,1,2025-05-25,Defective,Refunded
533,3945,84,3,2024-10-03,Late Delivery,Refunded
534,4536,27,1,2025-12-31,Changed Mind,Exchanged
535,2269,103,1,2024-03-16,Wrong Item,Exchanged
536,5587,49,2,2025-08-22,Late Delivery,Exchanged
537,834,85,4,2025-04-09,Late Delivery,Exchanged
538,5572,148,2,2025-10-09,Changed Mind,Exchanged
539,1462,98,1,2025-10-09,Late Delivery,Refunded
540,649,112,2,2025-08-29,Wrong Item,Refunded
541,3291,60,1,2025-05-02,Changed Mind,Exchanged
542,4238,113,1,2024-06-23,Defective,Refunded
543,2042,37,2,2026-02-02,Changed Mind,Exchanged
544,110,164,1,2024-04-28,Late Delivery,Refunded
545,3517,107,1,2024-09-06,Damaged,Refunded
546,3078,139,3,2024-03-31,Changed Mind,Refunded
547,4565,98,1,2024-11-21,Changed Mind,Exchanged
548,3145,15,1,2024-02-15,Defective,Refunded
549,4872,127,1,2025-11-11,Defective,Exchanged
550,853,10,3,2025-06-19,Changed Mind,Refunded
551,1672,87,1,2025-04-05,Damaged,Refunded
552,933,32,3,2025-11-23,Defective,Refunded
553,95,16,2,2025-02-12,Damaged,Refunded
554,5576,129,3,2024-09-17,Changed Mind,Refunded
555,3863,100,1,2024-03-05,Wrong Item,Refunded
556,3490,98,2,2025-01-28,Defective,Refunded
557,2732,77,3,2024-08-03,Wrong Item,Refunded
558,4096,61,1,2024-05-15,Defective,Refunded
559,1332,10,2,2025-05-12,Defective,Refunded
560,5946,84,1,2025-07-10,Changed Mind,Refunded
561,2339,151,1,2025-11-10,Damaged,Refunded
562,1624,123,1,2024-12-02,Changed Mind,Exchanged
563,2741,136,2,2024-05-17,Defective,Refunded
564,3812,35,1,2024-02-12,Late Delivery,Refunded
565,2230,138,1,2026-01-17,Wrong Item,Refunded
566,5389,50,4,2025-02-25,Defective,Refunded
567,5217,136,1,2025-11-22,Defective,Exchanged
568,4462,126,1,2024-01-19,Damaged,Refunded
569,205,54,1,2025-12-01,Damaged,Exchanged
570,4022,69,2,2024-07-15,Wrong Item,Refunded
571,4312,154,1,2025-12-30,Damaged,Refunded
572,2904,46,4,2024-12-27,Damaged,Refunded
573,2158,63,1,2024-12-16,Defective,Refunded
574,3432,43,3,2024-06-02,Late Delivery,Exchanged
575,2575,2,1,2025-09-28,Defective,Refunded
576,4939,150,1,2025-12-20,Wrong Item,Refunded
577,5122,4,4,2024-03-23,Damaged,Exchanged
578,2238,159,1,2025-11-03,Damaged,Exchanged
